0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:29 -0400] "GET /Application/loadScript?type=dataOperations&info=%7B%22requestArray%22:%5B%7B%22categary%22:%22simple%22,%22type%22:%22integer%22,%22key%22:%22integer:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22string%22,%22key%22:%22string:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22string%22,%22key%22:%22string:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22string%22,%22key%22:%22string:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22string%22,%22key%22:%22string:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22integer%22,%22key%22:%22integer:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22boolean%22,%22key%22:%22boolean:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22integer%22,%22key%22:%22integer:simple%22%7D%5D%7D HTTP/1.1" 200 3044
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:29 -0400] "GET /Application/loadScript?type=dataOperations&info=%7B%22requestArray%22:%5B%7B%22categary%22:%22simple%22,%22type%22:%22string%22,%22key%22:%22string:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22boolean%22,%22key%22:%22boolean:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22integer%22,%22key%22:%22integer:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22string%22,%22key%22:%22string:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22integer%22,%22key%22:%22integer:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22integer%22,%22key%22:%22integer:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22string%22,%22key%22:%22string:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22string%22,%22key%22:%22string:simple%22%7D%5D%7D HTTP/1.1" 200 3044
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:29 -0400] "GET /Application/loadScript?type=dataOperations&info=%7B%22requestArray%22:%5B%7B%22categary%22:%22simple%22,%22type%22:%22string%22,%22key%22:%22string:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22boolean%22,%22key%22:%22boolean:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22string%22,%22key%22:%22string:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22integer%22,%22key%22:%22integer:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22integer%22,%22key%22:%22integer:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22string%22,%22key%22:%22string:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22integer%22,%22key%22:%22integer:simple%22%7D,%7B%22categary%22:%22simple%22,%22type%22:%22string%22,%22key%22:%22string:simple%22%7D%5D%7D HTTP/1.1" 200 3044
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:29 -0400] "GET /Application/loadScript?type=dataOperations&info=%7B%22requestArray%22:%5B%7B%22categary%22:%22simple%22,%22type%22:%22string%22,%22key%22:%22string:simple%22%7D%5D%7D HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:29 -0400] "GET /Application/loadScript?type=dataOperations&info=%7B%22requestArray%22:%5B%7B%22categary%22:%22simple%22,%22type%22:%22integer%22,%22key%22:%22integer:simple%22%7D%5D%7D HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:29 -0400] "POST /Application/service HTTP/1.1" 200 59778
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:36 -0400] "GET /Application/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:36 -0400] "GET /Application/libs/underscore.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:36 -0400] "GET /Application/libs/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:36 -0400] "GET /Application/libs/backbone.js HTTP/1.1" 304 -
